City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Carnarvon,AU,80.6,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
4,Rikitea,PF,77.47,overcast clouds,-23.1203,-134.9692,Pension Maro'i
6,Vaini,TO,73.4,overcast clouds,-21.2,-175.2,Keleti Beach Resort
13,Kavaratti,IN,81.21,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
16,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
21,Buritizeiro,BR,78.93,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
22,Avarua,CK,75.2,few clouds,-21.2078,-159.775,Paradise Inn
23,Atuona,PF,80.17,broken clouds,-9.8,-139.0333,Villa Enata
26,Hermanus,ZA,73.0,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
30,Cape Town,ZA,75.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
32,Inhambane,MZ,86.0,scattered clouds,-23.865,35.3833,Oceano
33,Namibe,AO,74.3,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
34,Gizo,SB,82.13,moderate rain,-8.103,156.8419,Imagination Island
35,Inirida,CO,85.01,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
37,Tarakan,ID,79.75,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
44,Mogadishu,SO,77.45,clear sky,2.0371,45.3438,Hotel Juba
45,Dawei,MM,70.86,clear sky,14.0833,98.2,Hotel Dawei
46,Sao Filipe,CV,71.28,clear sky,14.8961,-24.4956,Tortuga B&B
49,Hithadhoo,MV,82.02,overcast clouds,-0.6,73.0833,Scoop Guest House
57,Ituporanga,BR,87.01,clear sky,-27.4144,-49.6025,Hotel Jacaré
58,Tual,ID,83.97,light rain,-5.6667,132.75,Grand Vilia Hotel
59,Banjar,ID,77.0,few clouds,-8.19,114.9675,The Hamsa Resort
64,Santa Rosa,PH,78.8,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
66,Faanui,PF,81.48,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Vangaindrano,MG,80.29,moderate rain,-23.35,47.6,Hotel Fanilo
75,Port Alfred,ZA,75.99,few clouds,-33.5906,26.891,The Halyards Hotel
78,Kalabo,ZM,77.63,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
92,Kavieng,PG,81.82,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
94,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
95,Saint-Pierre,RE,82.4,moderate rain,-21.3393,55.4781,Lindsey Hôtel
99,Bredasdorp,ZA,75.2,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
102,Salalah,OM,75.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
105,Labuhan,ID,78.64,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
113,Sambava,MG,79.38,scattered clouds,-14.2667,50.1667,Melrose
114,San-Pedro,CI,83.08,scattered clouds,4.7485,-6.6363,Hotel Maria
115,Takoradi,GH,83.07,scattered clouds,4.8845,-1.7554,Raybow International Hotel
117,Morant Bay,JM,88.0,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
120,Bambous Virieux,MU,80.01,few clouds,-20.3428,57.7575,Casa Tia Villa
121,Maumere,ID,79.11,broken clouds,-8.6199,122.2111,Sylvia Hotel
124,Saint-Philippe,RE,82.4,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
128,Mahebourg,MU,78.8,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
131,Biltine,TD,75.81,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
139,Yenagoa,NG,86.67,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
142,Mahibadhoo,MV,81.36,scattered clouds,3.7833,72.9667,Omadhoo Inn
147,Kindu,CD,73.53,light rain,-2.95,25.95,Résidence Okanda
152,Touros,BR,89.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
154,Kampong Thum,KH,80.19,broken clouds,12.7111,104.8887,Sambor Village Hotel
155,Port Elizabeth,ZA,73.4,broken clouds,-33.918,25.5701,39 On Nile Guest House
157,Chuy,UY,81.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
158,East London,ZA,77.0,broken clouds,-33.0153,27.9116,Tu Casa
161,Bengkulu,ID,76.48,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
162,Harper,LR,82.92,scattered clouds,4.375,-7.7169,Screensaver
164,Kirakira,SB,79.61,overcast clouds,-10.4544,161.9205,SanBiz Lodge
165,Caranavi,BO,83.14,scattered clouds,-15.8167,-67.55,Hotel Landivar
168,Matara,LK,76.59,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
169,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Pirineos
178,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
179,Cidreira,BR,75.94,broken clouds,-30.1811,-50.2056,Hotel Castelo
180,Pisco,PE,75.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
182,Butaritari,KI,80.87,light rain,3.0707,172.7902,Isles Sunset Lodge
183,Biak,ID,76.75,overcast clouds,-0.9131,122.8766,Penginapan Kim
191,Vila Velha,BR,82.4,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
192,Barra Do Bugres,BR,89.51,scattered clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
202,Mindelo,CV,73.4,broken clouds,16.8901,-24.9804,Hotel Gaudi
206,Noumea,NC,78.01,few clouds,-22.2763,166.4572,Hôtel Le Lagon
207,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
208,Iracoubo,GF,79.63,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
209,Sijunjung,ID,72.84,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
210,Yulara,AU,78.8,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
211,Vao,NC,77.2,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
220,Sampit,ID,75.06,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
224,Alta Floresta,BR,82.4,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
227,Cabo San Lucas,MX,73.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
235,Dingle,PH,74.98,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
236,Arraial Do Cabo,BR,77.0,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
237,Lorengau,PG,81.55,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
243,Mahajanga,MG,82.4,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
245,Bambanglipuro,ID,77.72,overcast clouds,-7.95,110.2833,Puri Brata
249,Metro,ID,75.34,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
251,Anloga,GH,89.6,few clouds,5.7947,0.8973,Pin Drop Hotel
252,Praia,CV,73.4,broken clouds,14.9215,-23.5087,LT Aparthotel
255,Jacareacanga,BR,78.98,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
256,Sao Jose Da Coroa Grande,BR,85.21,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
258,Espirito Santo Do Pinhal,BR,77.0,broken clouds,-22.1158,-46.6828,Pousada Pico Do Gaviao
260,Garowe,SO,73.71,clear sky,8.4054,48.4845,Curubo Hotel
