City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Punta Arenas,CL,-53.15,-70.9167,57.2,41,20,19.57,few clouds
1,Nazare,BR,-13.035,-39.0144,94.8,39,93,8.21,overcast clouds
2,Tasiilaq,GL,65.6145,-37.6368,32.0,93,75,44.87,snow
3,Carnarvon,AU,-24.8667,113.6333,80.6,100,40,11.5,scattered clouds
4,Rikitea,PF,-23.1203,-134.9692,77.47,75,100,13.15,overcast clouds
5,Bluff,NZ,-46.6,168.3333,53.92,85,19,3.31,few clouds
6,Vaini,TO,-21.2,-175.2,73.4,100,90,11.5,overcast clouds
7,Asau,RO,46.4333,26.4,30.0,76,100,3.2,overcast clouds
8,Hobart,AU,-42.8794,147.3294,57.99,82,75,6.91,broken clouds
9,Traverse City,US,44.7631,-85.6206,12.2,79,90,10.36,snow
10,Iqaluit,CA,63.7506,-68.5145,23.0,86,75,19.57,broken clouds
11,Ushuaia,AR,-54.8,-68.3,51.8,50,20,18.41,few clouds
12,Kapaa,US,22.0752,-159.319,59.0,82,40,8.05,scattered clouds
13,Kavaratti,IN,10.5669,72.642,81.21,66,0,10.0,clear sky
14,Saskylakh,RU,71.9167,114.0833,-36.08,81,76,5.03,broken clouds
15,Chokurdakh,RU,70.6333,147.9167,-18.65,87,97,4.85,overcast clouds
16,Georgetown,MY,5.4112,100.3354,84.2,74,20,5.75,few clouds
17,Changji,CN,44.0167,87.3167,12.2,92,90,2.24,fog
18,Albany,US,42.6001,-73.9662,35.01,37,80,11.7,broken clouds
19,Penzance,GB,50.1186,-5.5371,44.6,81,75,9.22,broken clouds
20,Thompson,CA,55.7435,-97.8558,-34.6,67,75,9.22,snow
21,Buritizeiro,BR,-17.3511,-44.9622,78.93,82,95,8.3,overcast clouds
22,Avarua,CK,-21.2078,-159.775,75.2,94,20,2.3,few clouds
23,Atuona,PF,-9.8,-139.0333,80.17,77,57,22.41,broken clouds
24,Leningradskiy,RU,69.3833,178.4167,-13.34,79,74,6.46,broken clouds
25,Pangnirtung,CA,66.1451,-65.7125,15.8,79,75,8.05,broken clouds
26,Hermanus,ZA,-34.4187,19.2345,73.0,79,20,4.0,few clouds
27,Hilo,US,19.7297,-155.09,60.8,67,1,6.91,clear sky
28,Qaqortoq,GL,60.7167,-46.0333,32.0,29,1,14.97,clear sky
29,Jamestown,US,42.097,-79.2353,21.0,62,1,21.85,clear sky
30,Cape Town,ZA,-33.9258,18.4232,75.0,68,20,19.57,few clouds
31,Tiznit,MA,29.5833,-9.5,52.12,68,85,16.73,overcast clouds
32,Inhambane,MZ,-23.865,35.3833,86.0,70,40,9.22,scattered clouds
33,Namibe,AO,-15.1961,12.1522,74.3,74,28,11.21,scattered clouds
34,Gizo,SB,-8.103,156.8419,82.13,78,75,13.65,moderate rain
35,Inirida,CO,3.8653,-67.9239,85.01,75,74,2.08,broken clouds
36,Berlevag,NO,70.8578,29.0864,26.55,93,100,23.44,light snow
37,Tarakan,ID,3.3,117.6333,79.75,80,49,5.73,scattered clouds
38,New Norfolk,AU,-42.7826,147.0587,57.99,73,12,1.99,few clouds
39,Casper,US,42.8666,-106.3131,10.99,78,90,5.75,overcast clouds
40,Dawlatabad,AF,36.4141,64.9053,54.91,41,54,7.99,broken clouds
41,Adrar,MR,20.5022,-10.0711,70.57,23,43,14.97,scattered clouds
42,Verkhnevilyuysk,RU,63.4453,120.3167,-32.96,83,33,2.68,scattered clouds
43,Turtas,RU,58.9417,69.1325,34.16,95,100,12.1,overcast clouds
44,Mogadishu,SO,2.0371,45.3438,77.45,78,0,19.48,clear sky
45,Dawei,MM,14.0833,98.2,70.86,69,0,3.11,clear sky
46,Sao Filipe,CV,14.8961,-24.4956,71.28,70,8,16.2,clear sky
47,Narsaq,GL,60.9167,-46.05,32.0,29,1,14.97,clear sky
48,Busselton,AU,-33.65,115.3333,59.0,94,100,1.01,light rain
49,Hithadhoo,MV,-0.6,73.0833,82.02,76,100,15.1,overcast clouds
50,Barra Patuca,HN,15.8,-84.2833,83.84,68,44,9.8,scattered clouds
51,Havelock,US,34.8791,-76.9013,50.0,53,75,9.22,broken clouds
52,Constitucion,CL,-35.3333,-72.4167,65.08,71,84,4.18,broken clouds
53,Kodiak,US,57.79,-152.4072,24.8,68,1,9.55,clear sky
54,Tombouctou,ML,20.0,-3.0,84.34,15,97,14.54,overcast clouds
55,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,59,20,20.71,few clouds
56,Taoudenni,ML,22.6783,-3.9836,77.94,20,44,17.58,scattered clouds
57,Ituporanga,BR,-27.4144,-49.6025,87.01,37,0,1.01,clear sky
58,Tual,ID,-5.6667,132.75,83.97,75,100,21.0,light rain
59,Banjar,ID,-8.19,114.9675,77.0,100,20,2.3,few clouds
60,Adolfo Ruiz Cortines,MX,25.75,-108.75,59.0,72,1,5.97,clear sky
61,Mataura,NZ,-46.1927,168.8643,48.85,95,2,0.56,clear sky
62,Clyde River,CA,70.4692,-68.5914,-14.8,84,40,2.3,scattered clouds
63,Francia,HN,15.85,-85.5833,84.2,65,1,2.55,clear sky
64,Santa Rosa,PH,14.3122,121.1114,78.8,78,20,3.44,few clouds
65,Houston,US,29.7633,-95.3633,55.99,82,90,6.91,overcast clouds
66,Faanui,PF,-16.4833,-151.75,81.48,69,0,10.04,clear sky
67,Orange Cove,US,36.6244,-119.3137,44.6,100,1,0.69,mist
68,Huangnihe,CN,43.5583,128.0239,-0.54,90,37,6.38,scattered clouds
69,Jasper,US,37.2001,-94.3502,41.0,60,90,5.75,overcast clouds
70,Vangaindrano,MG,-23.35,47.6,80.29,84,100,8.75,moderate rain
71,La Ronge,CA,55.1001,-105.2842,-29.2,68,2,5.75,clear sky
72,Lodja,CD,-3.4833,23.4333,72.55,85,84,2.44,light rain
73,Aasiaat,GL,68.7098,-52.8699,11.59,83,49,14.34,scattered clouds
74,Lavrentiya,RU,65.5833,-171.0,-4.02,82,81,6.15,broken clouds
75,Port Alfred,ZA,-33.5906,26.891,75.99,88,18,4.0,few clouds
76,Almazar,UZ,40.3217,69.0106,48.2,43,90,4.47,light rain
77,Victoria,HK,22.2855,114.1577,66.99,70,0,3.98,clear sky
78,Kalabo,ZM,-14.97,22.6814,77.63,66,40,4.05,scattered clouds
79,Luoyang,CN,34.6836,112.4536,49.86,40,25,3.06,scattered clouds
80,Pospelikha,RU,51.95,81.7667,27.7,95,0,10.0,clear sky
81,Tongling,CN,30.95,117.7833,49.69,78,0,4.29,clear sky
82,Erzin,TR,36.9559,36.2,62.01,83,0,1.7,clear sky
83,Ochakiv,UA,46.6128,31.5498,26.6,86,40,8.95,light snow
84,Mar Del Plata,AR,-38.0023,-57.5575,69.8,64,75,14.97,broken clouds
85,Yellowknife,CA,62.456,-114.3525,-42.0,65,1,4.34,fog
86,Kidal,ML,18.4411,1.4078,86.99,12,65,12.21,broken clouds
87,Barrow,US,71.2906,-156.7887,-0.4,71,90,10.36,overcast clouds
88,Batonyterenye,HU,47.9696,19.8408,35.78,88,100,4.83,overcast clouds
89,Cibitoke,BI,-2.8833,29.25,66.47,81,78,3.65,broken clouds
90,Raudeberg,NO,61.9875,5.1352,28.4,50,0,8.05,clear sky
91,Sistranda,NO,63.7256,8.834,23.0,80,75,12.66,light snow
92,Kavieng,PG,-2.5744,150.7967,81.82,71,96,2.51,overcast clouds
93,Gimli,CA,50.6336,-96.9907,-20.2,63,99,14.97,overcast clouds
94,Tiarei,PF,-17.5333,-149.3333,77.0,83,75,13.8,light rain
95,Saint-Pierre,RE,-21.3393,55.4781,82.4,74,90,4.61,moderate rain
96,Skjervoy,NO,70.0311,20.9714,29.82,93,100,20.38,light snow
97,Kamaishi,JP,39.2667,141.8833,40.12,84,83,4.25,light rain
98,Bethel,US,41.3712,-73.414,39.99,44,1,16.11,clear sky
99,Bredasdorp,ZA,-34.5322,20.0403,75.2,60,12,17.27,few clouds
100,Hirschaid,DE,49.8194,10.9908,46.0,60,100,9.08,light rain
101,Khalkhal,IR,37.6189,48.5258,36.63,86,97,3.96,overcast clouds
102,Salalah,OM,17.0151,54.0924,75.2,69,40,8.05,scattered clouds
103,Lasa,IT,46.6166,10.7002,43.0,93,20,10.36,few clouds
104,Half Moon Bay,US,37.4636,-122.4286,52.0,93,20,3.44,mist
105,Labuhan,ID,-6.8844,112.2051,78.64,85,74,11.41,broken clouds
106,Shache,CN,38.4167,77.2406,33.39,75,12,4.32,few clouds
107,Aklavik,CA,68.2191,-135.0107,-27.4,68,20,2.3,few clouds
108,Baykit,RU,61.67,96.37,5.4,91,100,4.16,light snow
109,Tiksi,RU,71.6872,128.8694,-25.64,85,100,6.67,overcast clouds
110,North Myrtle Beach,US,33.816,-78.68,48.99,53,90,5.75,overcast clouds
111,Yerbogachen,RU,61.2767,108.0108,-11.97,90,89,3.2,overcast clouds
112,Phuthaditjhaba,ZA,-28.5242,28.8158,63.73,81,99,1.7,moderate rain
113,Sambava,MG,-14.2667,50.1667,79.38,78,30,1.95,scattered clouds
114,San-Pedro,CI,4.7485,-6.6363,83.08,77,47,9.19,scattered clouds
